idnumber	Accession_Number	proteinname	unique	A5	A6	B5	B6	C5	C6	D5	D6
1	VIME_HUMAN			47	31	55	40	46	35	44	33
1	LMNA_HUMAN			41	46	48	50	43	51	41	47
1	NONO_HUMAN			24	15	25	19	27	15	27	20
1	DDX5_HUMAN			32	29	34	35	33	35	34	36
1	K2C1_HUMAN			36	33	34	31	33	34	31	32
1	HNRPM_HUMAN			14	18	27	22	26	22	23	26
1	HNRPR_HUMAN			16	24	22	29	21	27	22	32
1	HSP7C_HUMAN			14	29	18	30	16	29	17	28
1	LMNB1_HUMAN			19	33	26	37	15	35	20	31
1	K1C9_HUMAN			26	21	25	19	25	15	19	19
1	DDX17_HUMAN			20	25	24	26	22	23	22	29
1	K22E_HUMAN			35	31	37	25	31	26	27	26
1	HNRPK_HUMAN			19	13	24	19	21	16	21	20
1	LMNB2_HUMAN			25	24	32	30	21	31	26	29
1	TBB5_HUMAN			19	13	23	12	22	15	22	16
1	XRCC6_HUMAN			10	26	14	33	11	32	12	30
1	K1C10_HUMAN			26	22	27	19	25	20	21	15
1	HNRPQ_HUMAN			13	20	17	23	15	21	14	26
1	HNRPL_HUMAN			10	9	16	10	13	10	11	10
1	HS90B_HUMAN			13	20	8	35	13	35	12	20
1	FUBP2_HUMAN			8	14	10	29	9	28	11	24
1	FUS_HUMAN			9	8	10	9	10	8	10	10
1	LAP2A_HUMAN			12	21	19	28	17	28	17	25
1	MCM7_HUMAN			6	22	7	31	5	32	10	24
1	ACTB_HUMAN			13	15	18	18	13	16	14	14
1	NOP56_HUMAN			8	23	13	24	10	24	8	22
1	DDX18_HUMAN			3	20	4	22	4	24	5	21
1	PABP1_HUMAN			5	20	12	25	14	22	13	24
1	NOP58_HUMAN			18	11	20	13	15	13	14	12
1	TKT_HUMAN			15	15	18	19	11	13	13	16
1	TBA1B_HUMAN			11	5	15	7	20	6	14	10
1	DKC1_HUMAN			16	8	22	10	19	11	15	6
1	KPYM_HUMAN			18	7	21	6	24	8	18	8
1	K2C7_HUMAN			23	7	29	13	29	11	19	10
1	EWS_HUMAN			5	6	4	6	4	6	6	9
1	NOG1_HUMAN			4	17	4	21	3	20	8	16
1	PTBP1_HUMAN			14	7	16	8	17	6	12	9
1	XRCC5_HUMAN			3	13	6	25	3	24	8	20
1	RPN1_HUMAN			12	18	15	22	12	20	9	21
1	MTA2_HUMAN			5	21	7	25	6	24	8	25
1	PRP19_HUMAN			11	8	16	9	13	7	13	10
1	DDX3X_HUMAN			5	18	7	22	5	21	4	20
1	SYRC_HUMAN			5	20	16	26	3	23	6	22
1	RU17_HUMAN			12	8	14	11	11	8	14	12
1	PSPC1_HUMAN			15	4	15	5	14	5	11	14
1	TCPG_HUMAN			18	6	21	7	19	9	17	7
1	FUBP1_HUMAN			6	14	5	19	6	17	8	20
1	PLEC_HUMAN			57	35	7	14	9	10	2	4
1	UGDH_HUMAN			20	5	21	3	20	3	17	6
